state,x,y
andhra pradesh,-26,-90
arunachal pradesh,185,122
assam,166,87
bihar,57,74
chhattisgarh,4,1
goa,-140,-108
gujarat,-181,33
haryana,-101,121
himachal pradesh,-78,182
jharkhand,46,36
karnataka,-119,-115
kerala,-100,-190
madhya pradesh,-73,24
maharashtra,-128,-36
manipur,186,61
meghalaya,138,71
mizoram,164,40
nagaland,194,91
odisha,37,-18
punjab,-116,156
rajasthan,-149,84
sikkim,92,103
tamil nadu,-67,-179
telangana,-60,-64
tripura,147,38
uttar pradesh,-38,96
uttarakhand,-53,143
west bengal,83,28
delhi,-86,110
